Title,Authors,Published Year,Journal,Volume,Issue,Pages,DOI
Adolescents and self-taken sexual images: A review of the literature,"Cooper, K.; Quayle, E.; Jonsson, L.; Svedin, C. G.",2016,Computers in Human Behavior,55,,706-716,
Using mobile technology to promote safe sex and sexual health in adolescents: Current practices and future recommendations,"Cornelius, J. B.; Appiah, J. A.",2016,"Adolescent Health, Medicine and Therapeutics",7,,43-57,
The health indicators associated with screen-based sedentary behavior among adolescent girls: A systematic review,"Costigan, S. A.; Barnett, L.; Plotnikoff, R. C.; Lubans, D. R.",2013,Journal of Adolescent Health,52,4,382-392,
Social Media Use and Adolescent Well-Being: A Narrative Review of Longitudinal Studies.,"Course-Choi, Jenna; Hammond, Linda",2021,"Cyberpsychology, behavior and social networking",24,4,223-236,10.1089/cyber.2020.0020
Effects of Digital-Based Math Fluency Interventions on Learners with Math Difficulties: A Review of the Literature,"Cozad, Lauren E.; Riccomini, Paul J.",2016,Journal of Special Education Apprenticeship,5,2,19,
Interventions to reduce inequalities in vaccine uptake in children and adolescents aged <19 years: a systematic review,"Crocker-Buque, Tim; Edelstein, Michael; Mounier-Jack, Sandra",2017,Journal Of Epidemiology And Community Health,71,1,87-97,10.1136/jech-2016-207572
Technology Mediated Self-Prompting of Daily Living Skills for Adolescents and Adults with Disabilities: A Review of the Literature,"Cullen, J. M.; Alber-Morgan, S. R.",2015,Education and Training in Autism and Developmental Disabilities,50,1,43-55,
Anti-bullying interventions in schools: a systematic literature review,"da Silva, J. L.; de Oliveira, W. A.; de Mello, F. C. M.; de Andrade, L. S.; Bazon, M. R.; Silva, M. A. I.",2017,Ciencia & Saude Coletiva,22,7,2329-2340,
The power of the web: A systematic review of studies of the influence of the internet on self-harm and suicide in young people,"Daine, Kate; Hawton, Keith; Singaravelu, Vinod; Stewart, Anne; Simkin, Sue; Montgomery, Paul",2013,PLoS ONE,8,10,,10.1371/journal.pone.0077555
Can exergaming contribute to improving physical activity levels and health outcomes in children?,"Daley, A. J.",2009,Pediatrics,124,2,763-771,10.1542/peds.2008-2357
Trending: A Systematic Review of Social Media Use's Influence on Adolescent Anxiety and Depression,"Damodar, S.; Lokemoen, C.; Gurusamy, V.; Takhi, M.; Bishev, D.; Parrill, A.; Deviney, M.; Person, U.; Korie, I.; Branch, R.",2022,ADOLESCENT PSYCHIATRY,12,1,Nov-22,10.2174/2210676612666220225122720
The Educational Value of Internet Use in the Home for School Children: A Systematic Review of Literature,"Daoud, Rana; Starkey, Louise; Eppel, Elizabeth; Vo, Tho Doan; Sylvester, Allan",2021,JOURNAL OF RESEARCH ON TECHNOLOGY IN EDUCATION,53,4,353-374,http://dx.doi.org/10.1080/15391523.2020.1783402
Interventions for adolescent substance abuse: An overview of systematic reviews,"Das, Jai K.; Salam, Rehana A.; Arshad, Ahmed; Finkelstein, Yaron; Bhutta, Zulfiqar A.",2016,Journal of Adolescent Health,59,"4, Suppl",S61-S75,10.1016/j.jadohealth.2016.06.021
A Systematic Review on the Intervention Using Exercise Gaming to reduce Childhood Obesity,"Daud, F.; Aminuddin, N. A.; Azit, N. A.",2019,International Medical Journal Malaysia,18,2,139-146,
Exergaming for physical activity: A systematic review,"Davis, Jacob C.; Killen, Lauren G.; Green, J. Matt; Waldman, Hunter S.; Renfroe, Lee G.",2022,Journal of American College Health,,,,10.1080/07448481.2022.2103377
Prevalence and factors associated with low aerobic performance levels in adolescents: A systematic review,"de Andrade Goncalves, E. C.; Silva, D. A. S.; Nunes, H. E. G.",2015,Current Pediatric Reviews,11,1,56-70,
Correlates of energy balance-related behaviours in preschool children: A systematic review,"De Craemer, M.; De Decker, E.; De Bourdeaudhuij, I.; Vereecken, C.; Deforche, B.; Manios, Y.; Cardon, G.",2012,Obesity Reviews,13,SUPPL. 1,13-28,
Benefits and Factors Influencing the Design of Intergenerational Digital Games: A Systematic Literature Review,"de la Hera, T.; Loos, E.; Simons, M.; Blom, J.",2017,Societies,7,3,15,10.3390/soc7030018
Sedentary behavior and health outcomes: an overview of systematic reviews,"de Rezende, Leandro Fornias Machado; Rodrigues Lopes, Maurício; Rey-López, Juan Pablo; Matsudo, Victor Keihan Rodrigues; Luiz, Olinda do Carmo",2014,Plos One,9,8,e105620-e105620,10.1371/journal.pone.0105620
Do interventions to limit sedentary behaviours change behaviour and reduce childhood obesity? A critical review of the literature,"DeMattia, L.; Lemont, L.; Meurer, L.",2007,Obesity Reviews,8,1,69-81,
Does Computer Game Design and Programming Benefit Children? A Meta-Synthesis of Research,"Denner, J.; Campe, S.; Werner, L.",2019,Acm Transactions on Computing Education,19,3,,10.1145/3277565
Obesogenic behaviours and depressive symptoms in children: a narrative literature review,"Dennison, M.; Sisson, S. B.; Morris, A.",2016,Obesity Reviews,17,8,735-757,
Effective intervention or child's play? A review of video games for diabetes education,"DeShazo, Jonathan; Harris, Lynne; Pratt, Wanda",2010,Diabetes Technology & Therapeutics,12,10,815-822,10.1089/dia.2010.0030
Predictors and Social Consequences of Online Interactive Self-Disclosure: A Literature Review from 2002 to 2014,"Desjarlais, M.; Gilmour, J.; Sinclair, J.; Howell, K. B.; West, A.",2015,"Cyberpsychology, behavior and social networking",18,12,718-725,
Is There Evidence That Active Videogames Increase Energy Expenditure and Exercise Intensity for People Poststroke and with Cerebral Palsy?,"Deutsch, J. E.; Guarrera-Bowlby, P.; Myslinski, M. J.; Kafri, M.",2015,Games for health journal,4,1,31-37,
Serious games as an educational strategy to control childhood obesity: a systematic literature review,"Dias, J. D.; Domingues, A. N.; Tibes, C. M.; Zem-Mascarenhas, S. H.; Fonseca, L. M. M.",2018,Revista Latino-Americana De Enfermagem,26,,,10.1590/1518-8345.2509.3036
The impact of game-based learning on the achievement of learning goals and motivation for learning mathematics-literature review,"Divjak, Blaženka; Tomić, Damir",2011,Journal of Information and Organizational Sciences,35,1,15-30,
Nutritional interventions for adolescents using information and communication technologies (ICTs): A systematic review,"do Amaral, E. Melo G. R.; de Carvalho Silva Vargas, F.; Dos Santos Chagas, C. M.; Toral, N.",2017,PLoS One,12,9,e0184509,10.1371/journal.pone.0184509
Active Video Games and Physical Activity in Overweight Children and Adolescents Systematic Review,"do Carmo, J.; Goncalves, R.; Batalau, R.; Palmeira, A. L.",2013,2013 Ieee 2nd International Conference on Serious Games and Applications for Health (Segah),,,,
The prevention of overweight and obesity in children and adolescents: A review of interventions and programmes,"Doak, C. M.; Visscher, T. L. S.; Renders, C. M.; Seidell, J. C.",2006,Obesity Reviews,7,1,111-136,
The effectiveness of school based interventions in promoting physical activity and fitness among children and youth: A systematic review,"Dobbins, M.; DeCorby, K.; Robeson, P.; Husson, H.; Trillis, D.",2011,,24,,111-210,
School-based physical activity programs for promoting physical activity and fitness in children and adolescents aged 6 to 18,"Dobbins, M.; Husson, H.; DeCorby, K.; LaRocca, R. L.",2013,Cochrane database of systematic reviews (Online),2,,CD007651,
Video Interaction Guidance with Families: A Systematic Review of the Research,"Dodsworth, Emily; Kelly, Catherine; Bond, Caroline",2021,Educational & Child Psychology,38,3,48-61,
Internet- and Mobile-Based Interventions for Mental and Somatic Conditions in Children and Adolescents,"Domhardt, M.; Steubl, L.; Baumeister, H.",2020,Z Kinder Jugendpsychiatr Psychother,48,1,33-46,10.1024/1422-4917/a000625
The outcomes of sexting for children and adolescents: A systematic review of the literature,"Doyle, Caoimhe; Douglas, Ellen; O'Reilly, Gary",2021,Journal of Adolescence,92,,86-113,10.1016/j.adolescence.2021.08.009
Social media use and offline interpersonal outcomes during youth: A systematic literature review,"Dredge, Rebecca; Schreurs, Lara",2020,Mass Communication & Society,,,,10.1080/15205436.2020.1810277
A systematic review of lifestyle patterns and their association with adiposity in children aged 5-12 years,"D'Souza, N. J.; Kuswara, K.; Zheng, M.; Leech, R.; Downing, K. L.; Lioret, S.; Campbell, K. J.; Hesketh, K. D.",2020,Obesity Reviews,,,,http://dx.doi.org/10.1111/obr.13029
"A systematic review of the psychometric properties, usability and clinical impacts of mobile mood-monitoring applications in young people","Dubad, M.; Winsper, C.; Meyer, C.; Livanou, M.; Marwaha, S.",2018,Psychological Medicine,48,2,208-228,10.1017/S0033291717001659
Screen time use in children under 3 years old: a systematic review of correlates,"Duch, Helena; Fisher, Elisa M.; Ensari, Ipek; Harrington, Alison",2013,The International Journal Of Behavioral Nutrition And Physical Activity,10,,102-102,10.1186/1479-5868-10-102
A systematic review on the intersection of attention-deficit hyperactivity disorder and gaming disorder,"Dullur, P; Krishnan, V; Diaz, AM",2021,JOURNAL OF PSYCHIATRIC RESEARCH,133,,212-222,10.1016/j.jpsychires.2020.12.026
Women's Use of Social Media: What Is the Evidence About Their Impact on Weight Management and Body Image?,"Dumas, A. A.; Desroches, S.",2019,Current obesity reports,8,1,18-32,http://dx.doi.org/10.1007/s13679-019-0324-4
Children of single-parent households are at a higher risk of obesity: A systematic review,"Duriancik, David M.; Goff, Courtney R.",2019,Journal of Child Health Care,23,3,358-369,10.1177/1367493519852463
Using Mobile Apps to Promote a Healthy Lifestyle Among Adolescents and Students: A Review of the Theoretical Basis and Lessons Learned,"Dute, D. J.; Bemelmans, W. J. E.; Breda, J.",2016,Jmir Mhealth and Uhealth,4,2,216-230,
"Cyberbullying, Race/Ethnicity and Mental Health Outcomes: A Review of the Literature","Edwards, L.; Kontostathis, A. E.; Fisher, C.",2016,Media and Communication,4,3,71-78,
Problematic smartphone use: A conceptual overview and systematic review of relations with anxiety and depression psychopathology,"Elhai, J. D.; Dvorak, R. D.; Levine, J. C.; Hall, B. J.",2017,Journal of Affective Disorders,207,,251-259,
Is Mr Pac Man eating our children? A review of the effect of video games on children,"Emes, C. E.",1997,Canadian Journal Of Psychiatry. Revue Canadienne De Psychiatrie,42,4,409-414,
Problem gaming and suicidality: A systematic literature review,"Erevik, E. K.; Landro, H.; Mattson, A. L.; Kristensen, J. H.; Kaur, P.; Pallesen, S.",2022,Addictive Behaviors Reports,15,,100419,https://dx.doi.org/10.1016/j.abrep.2022.100419
Impact of the media on adolescent sexual attitudes and behaviors,"Escobar-Chaves, S. L.; Tortolero, S. R.; Markham, C. M.; Low, B. J.; Eitel, P.; Thickstun, P.",2005,Pediatrics,116,1,303-326,
The influence of mobile technologies on preschool and elementary children’s literacy achievement: A systematic review spanning 2007–2019,"Eutsler, L.; Mitchell, C.; Stamm, B.; Kogut, A.",2020,Educational Technology Research and Development,68,4,1739-1768,10.1007/s11423-020-09786-1
"""Whole-of-Community"" Obesity Prevention: A Review of Challenges and Opportunities in Multilevel, Multicomponent Interventions","Ewart-Pierce, E.; Mejia Ruiz, M. J.; Gittelsohn, J.",2016,Current Obesity Reports,5,3,361-374,
Health related virtual communities and electronic support groups: systematic review of the effects of online peer to peer interactions,"Eysenbach, Gunther; Powell, John; Englesakis, Marina; Rizo, Carlos; Stern, Anita",2004,Bmj,328,7449,1166,
Enhancing Students' Scientific Literacy Using Interactive Simulations: A Critical Literature Review,"Fan, Xinxin; Geelan, David",2013,Journal of Computers in Mathematics and Science Teaching,32,2,125-171,
Relationship between sleep duration and childhood obesity: Systematic review including the potential underlying mechanisms,"Felső, R.; Lohner, S.; Hollódy, K.; Erhardt, É; Molnár, D.",2017,"Nutrition, Metabolism, And Cardiovascular Diseases: NMCD",27,9,751-761,10.1016/j.numecd.2017.07.008
Relationship between sleep duration and childhood obesity: Systematic review including the potential underlying mechanisms,"Felso, R.; Lohner, S.; Hollody, K.; Erhardt, E.; Molnar, D.",2017,"Acta Paediatrica, International Journal of Paediatrics",106 (Supplement 470),,15,
"Using mobile phones to improve young people sexual and reproductive health in low and middle-income countries: a systematic review to identify barriers, facilitators, and range of mHealth solutions.","Feroz, Anam Shahil; Ali, Naureen Akber; Khoja, Adeel; Asad, Armish; Saleem, Sarah",2021,Reproductive health,18,1,9,10.1186/s12978-020-01059-7
Alcohol Marketing and Adolescent and Young Adult Alcohol Use Behaviors: A Systematic Review of Cross-Sectional Studies,"Finan, L. J.; Lipperman-Kreda, S.; Grube, J. W.; Balassone, A.; Kaner, E.",2020,Journal of Studies on Alcohol and Drugs,,,42-56,
Can skin cancer prevention be improved through mobile technology interventions? A systematic review,"Finch, L.; Janda, M.; Loescher, L. J.; Hacker, E.",2016,Preventive Medicine,90,,121-132,
Risk factors for problematic smartphone use in children and adolescents: a review of existing literature,"Fischer-Grote, L.; Kothgassner, O. D.; Felnhofer, A.",2019,Neuropsychiatrie,33,4,179-190,http://dx.doi.org/10.1007/s40211-019-00319-8
The impact of problematic smartphone use on children's and adolescents' quality of life: A systematic review.,"Fischer-Grote, Linda; Kothgassner, Oswald D; Felnhofer, Anna",2021,"Acta paediatrica (Oslo, Norway : 1992)",110,5,1417-1424,10.1111/apa.15714
Serious games for the treatment or prevention of depression: A systematic review,"Fleming, Theresa M.; Cheek, Colleen; Merry, Sally N.; Thabrew, Hiran; Bridgman, Heather; Stasiak, Karolina; Shepherd, Matthew; Perry, Yael; Hetrick, Sarah",2014,Revista de Psicopatología y Psicología Clínica,19,3,227-242,
Is the relationship between sedentary behaviour and cardiometabolic health in adolescents independent of dietary intake? A systematic review,"Fletcher, E.; Leech, R.; McNaughton, S. A.; Dunstan, D. W.; Lacy, K. E.; Salmon, J.",2015,Obesity Reviews,16,9,795-805,
Use of active video games to increase physical activity in children: a (virtual) reality?,"Foley, L.; Maddison, R.",2010,Pediatric exercise science,22,1,Jul-20,
Television viewing associated with adverse dietary outcomes in children ages 2-6,"Ford, C.; Ward, D.; White, M.",2012,Obesity Reviews,13,12,1139-1147,
Smoking in video games: A systematic review,"Forsyth, S. R.; Malone, R. E.",2016,Nicotine and Tobacco Research,18,6,1390-1398,
The effect of the Internet on teen and young adult tobacco use: A literature review,"Forsyth, Susan R.; Kennedy, Christine; Malone, Ruth E.",2013,Journal of Pediatric Health Care,27,5,367-376,10.1016/j.pedhc.2012.02.008
Communication technologies to improve HPV vaccination initiation and completion: A systematic review,"Francis, D. B.; Cates, J. R.; Wagner, K. P. G.; Zola, T.; Fitter, J. E.; Coyne-Beasley, T.",2017,Patient Education and Counseling,100,7,1280-1286,
Use of educational technologies in the promotion of children’s cardiovascular health: a systematic review,"Francisca Bertilia Chaves, Costa; Ana Maria Fontenelle, Catrib; July Grassiely de Oliveira, Branco; Rafaela Oliveira de, Sales; Geraldo Bezerra da Silva, Junior; Ana Paula Vasconcellos, Abdon; Lana Paula Crivelaro Monteiro de, Almeida",2020,Global Health Promotion,27,4,32-41,http://dx.doi.org/10.1177/1757975920909119
Effect of television violence on aggressiveness,"Freedman, J. L.",1984,Psychological bulletin,96,2,227-246,
Spelling Interventions for Students with Disabilities - a Review,"Fulk, B. M.; Stormontspurgin, M.",1995,Journal of Special Education,28,4,488-513,
"Public Health Implications of Image-Based Social Media: A Systematic Review of Instagram, Pinterest, Tumblr, and Flickr","Fung, Isaac Chun-Hai; Blankenship, Elizabeth B.; Ahweyevu, Jennifer O.; Cooper, Lacey K.; Duke, Carmen H.; Carswell, Stacy L.; Jackson, Ashley M.; Jenkins, Jimmy C., 3rd; Duncan, Emily A.; Liang, Hai; Fu, King-Wa; Tse, Zion Tsz Ho",2020,The Permanente journal,24,,,10.7812/TPP/18.307
Effectiveness of Social Media-Based Interventions for the Promotion of Physical Activity: Scoping Review,"Günther, L.; Schleberger, S.; Pischke, C. R.",2021,Int J Environ Res Public Health,18,24,,10.3390/ijerph182413018
Use of social media for sexual health promotion: a scoping review,"Gabarron, Elia; Wynn, Rolf",2016,Global Health Action,9,,32193-32193,10.3402/gha.v9.32193
"A Systematic Review on Effect of Electronic Media on Diet, Exercise, and Sexual Activity among Adolescents","Gaidhane, Abhay M.; Sinha, Anju; Khatibt, Mahalaqua Nazli; Simkhada, Padam; Behere, Prakash B.; Saxena, Deepak; Unnikrishnanu, Bhaskaran; Khatib, Mahafroz; Ahmed, Mahjabeen; Syed, Zahiruddin Quazi",2018,Indian Journal of Community Medicine,43,,S56-S65,10.4103/ijcm.IJCM_143_18
Are field-based exergames useful in preventing childhood obesity? A systematic review,"Gao, Z.; Chen, S.",2014,Obesity Reviews: An Official Journal Of The International Association For The Study Of Obesity,15,8,676-691,10.1111/obr.12164
A Systematic Review of Active Video Games on Youth's Body Composition and Physical Activity,"Gao, Zan; Zeng, Nan; McDonough, Daniel J.; Su, Xiwen",2020,International journal of sports medicine,,,,10.1055/a-1152-4959
What do We Know about Computing Education for K-12 in Non-formal Settings? A Systematic Literature Review of Recent Research,"Gardner, T.; Leonard, H. C.; Waite, J.; Sentance, S.",2022,"18th Annual ACM International Computing Education Research Conference, ICER 2022",1,,264-281,10.1145/3501385.3543960
Use of Multimedia or Mobile Devices By Adolescents for Health Promotion And Disease Prevention: A Literature Review,"Geckle, Joan",2016,Pediatric Nursing,42,4,163-167,
"Effectiveness, Acceptability, and Feasibility of Digital Health Interventions for LGBTIQ+ Young People: Systematic Review","Gilbey, D.; Morgan, H.; Lin, A.; Perry, Y.",2020,J Med Internet Res,22,12,e20158,10.2196/20158
A systematic scoping review of adolescent mental health treatment using mobile apps,"Gindidis, Simone; Stewart, Sandy; Roodenburg, John",2018,Advances in Mental Health,,,,10.1080/18387357.2018.1523680
Impact of mobile phones and wireless devices use on children and adolescents' mental health: a systematic review,"Girela-Serrano, B. M.; Spiers, A. D. V.; Ruotong, L.; Gangadia, S.; Toledano, M. B.; Di Simplicio, M.",2022,Eur Child Adolesc Psychiatry,,,Jan-31,10.1007/s00787-022-02012-8
Tangible Technologies for Childhood Education: A Systematic Review,"González-González, Carina S.; Guzmán-Franco, María D.; Infante-Moro, Alfonso",2019,Sustainability,11,10,,http://dx.doi.org/10.3390/su11102910
The influence of online physical activity interventions on children and young people’s engagement with physical activity: a systematic review,"Goodyear, V.A.; Skinner, B.; McKeever, J.; Grifftiths, M.",2021,Phys. Educ. Sport Pedagogy,,,,10.1080/17408989.2021.1953459
The effect of social media interventions on physical activity and dietary behaviours in young people and adults: a systematic review,"Goodyear, Victoria A.; Wood, Grace; Skinner, Bethany; Thompson, Janice L.",2021,International Journal of Behavioral Nutrition and Physical Activity,18,1,72-p. 72,http://dx.doi.org/10.1186/s12966-021-01138-3
Couch kids: Correlates of television viewing among youth,"Gorely, T.; Marshall, S. J.; Biddle, S. J. H.",2004,International journal of behavioral medicine,11,3,152-163,
The use of telehealth services to facilitate audiological management for children: A scoping review and content analysis,"Govender, S. M.; Mars, M.",2017,Journal of Telemedicine and Telecare,23,3,392-401,
"Health outcomes associated with reallocations of time between sleep, sedentary behaviour, and physical activity: a systematic scoping review of isotemporal substitution studies","Grgic, J.; Dumuid, D.; Bengoechea, E. G.; Shrestha, N.; Bauman, A.; Olds, T.; Pedisic, Z.",2018,Int J Behav Nutr Phys Act,15,1,69,10.1186/s12966-018-0691-3
Adolescent gambling on the internet: A review,"Griffiths, Mark D.; Parke, Jonathan",2010,International Journal of Adolescent Medicine and Health,22,1,59-75,
Youth Internet use: risks and opportunities,"Guan, Shu-Sha Angie; Subrahmanyam, Kaveri",2009,Current Opinion In Psychiatry,22,4,351-356,10.1097/YCO.0b013e32832bd7e0
Applying game-based learning in primary education: A systematic review of journal publications from 2010 to 2020,"Guan, Xin; Sun, Chunmei; Hwang, Gwo-jen; Xue, Kegan; Wang, Zhuo",2022,Interactive Learning Environments,,,,10.1080/10494820.2022.2091611
Sedentary behavior in Brazilian children and adolescents: a systematic review,"Guerra, P. H.; de Farias Junior, J. C.; Florindo, A. A.",2016,Revista de saude publica,50,,9,
Are Technology-Based Interventions Effective in Reducing Dental Anxiety in Children and Adults? A Systematic Review,"Gujjar, Kumar Raghav; van Wijk, Arjen; Kumar, Ratika; de Jongh, Ad",2019,Journal of Evidence-Based Dental Practice,19,2,140-155,10.1016/j.jebdp.2019.01.009
Moving beyond the stigma: Systematic review of video games and their potential to combat obesity,"Guy, S.; Ratzki-Leewing, A.; Gwadry-Sridhar, F.",2011,International Journal of Hypertension,2011 (no pagination),179124,,
A systematic literature review of games-based learning empirical evidence in primary education,"Hainey, T.; Connolly, T. M.; Boyle, E. A.; Wilson, A.; Razak, A.",2016,Computers & Education,102,,202-223,
When and How Video Games Can Be Good: A Review of the Positive Effects of Video Games on Well-Being,"Halbrook, Y. J.; O'Donnell, A. T.; Msetfi, R. M.",2019,Perspectives on Psychological Science,14,6,1096-1104,10.1177/1745691619863807
A systematic review of effective interventions for reducing multiple health risk behaviors in adolescence (Provisional abstract),"Hale, D. R.; Fitzgerald-Yau, N.; Viner, R. M.",2014,American Journal of Public Health,104,5,e19-41,
Screen time and sleep among school-aged children and adolescents: A systematic literature review,"Hale, L.; Guan, S.",2015,Sleep Medicine Reviews,21,,50-58,
Computer assisted instruction in reading for students with learning disabilities: a research synthesis,"Hall, Tracey E.; Hughes, Charles A.; Filbert, Melinda",2000,Education & Treatment of Children (ETC),23,2,173-193,
Computer- and web-based interventions to promote healthy eating among children and adolescents: A systematic review,"Hamel, L. M.; Robbins, L. B.",2013,Journal of Advanced Nursing,69,1,16-30,
Computer- and web-based interventions to increase preadolescent and adolescent physical activity: A systematic review,"Hamel, L. M.; Robbins, L. B.; Wilbur, J.",2011,Journal of Advanced Nursing,67,2,251-268,
A systematic review of the use and effectiveness of social media in child health,"Hamm, Michele P.; Shulhan, Jocelyn; Williams, Gillian; Milne, Andrea; Scott, Shannon D.; Hartling, Lisa",2014,BMC Pediatrics,14,,138-138,10.1186/1471-2431-14-138
The Child Obesity Epidemic in Saudi Arabia: A Review of the Literature,"Hammad, S. S.; Berry, D. C.",2016,J Transcult Nurs,,,,10.1177/1043659616668398
The Potentials of Using Cloud Computing in Schools: A Systematic Literature Review,"Hartmann, Simon Birk; Braae, Lotte Qulleq Nygaard; Pedersen, Sine; Khalid, Saifuddin Md",2017,Turkish Online Journal of Educational Technology - TOJET,16,1,190-202,
Podcast Applications in Language Learning: A Review of Recent Studies,"Hasan, Masudul Md; Hoon, Tan Bee",2013,English Language Teaching,6,2,128-135,
Tablet use in schools: a critical review of the evidence for learning outcomes,"Hassler, B.; Major, L.; Hennessy, S.",2016,Journal of Computer Assisted Learning,32,2,139-156,
A review of risk factors for overweight in preschool children: a policy perspective,"Hawkins, S. S.; Law, C.",2006,International journal of pediatric obesity : IJPO : an official journal of the International Association for the Study of Obesity,1,4,195-209,
Universal childhood and adolescent obesity prevention programs: Review and critical analysis,"Haynos, A. F.; O'Donohue, W. T.",2012,Clinical Psychology Review,32,5,383-399,
Efficacy of text messaging-based interventions for health promotion: A meta-analysis,"Head, K. J.; Noar, S. M.; Iannarino, N. T.; Harrington, N. G.",2013,Social Science & Medicine,97,,41-48,
Infant media use: A harm reduction approach.,"Heller, N A",2021,Infant behavior & development,64,,101610,10.1016/j.infbeh.2021.101610
Social Media for Collaborative Learning: A Review of School Literature,"Henderson, Michael; Snyder, Ilana; Beale, Denise",2013,Australian Educational Computing,28,2,51-68,
Combined home and school obesity prevention interventions for children: what behavior change strategies and intervention characteristics are associated with effectiveness? (Structured abstract),"Hendrie, G. A.; Brindal, E.; Corsini, N.; Gardner, C.; Baird, D.; Golley, R. K.",2012,Health Education and Behavior,39,2,159-171,
Young children and tablets: A systematic review of effects on learning and development,"Herodotou, C.",2018,Journal of Computer Assisted Learning,34,1,1-Sep,10.1111/jcal.12220
Ecological momentary interventions: incorporating mobile technology into psychosocial and health behaviour treatments,"Heron, K. E.; Smyth, J. M.",2010,British journal of health psychology,15,Pt 1,Jan-39,
Interventions to prevent obesity in 0-5 year olds: An updated systematic review of the literature,"Hesketh, K. D.; Campbell, K. J.",2010,Obesity,18,SUPPL. 1,S27-S35,
Electronic media-based health interventions promoting behavior change in youth: A systematic review,"Hieftje, K.; Edelman, E. J.; Camenga, D. R.; Fiellin, L. E.",2013,JAMA Pediatrics,167,6,574-580,
The future of digital games for HIV prevention and care,"Hightow-Weidman, L. B.; Muessig, K. E.; Bauermeister, J. A.; LeGrand, S.; Fiellin, L. E.",2017,Current Opinion in HIV and AIDS,12,5,501-507,
"Youth, Technology, and HIV: Recent Advances and Future Directions","Hightow-Weidman, L. B.; Muessig, K. E.; Bauermeister, J.; Zhang, C.; LeGrand, S.",2015,Current HIV/AIDS Reports,12,4,500-515,
"A systematic review of the effectiveness of individual, community and societal level interventions at reducing socioeconomic inequalities in obesity amongst children","Hillier-Brown, F. C.; Bambra, C. L.; Cairns, J. M.; Kasim, A.; Moore, H. J.; Summerbell, C. D.",2014,BMC public health,14,,834,
Correlates of sedentary behaviours in preschool children: a review,"Hinkley, T.; Salmon, J.; Okely, A. D.; Trost, S. G.",2010,International Journal of Behavioral Nutrition and Physical Activity,7,,,
"Early childhood physical activity, sedentary behaviors and psychosocial well-being: A systematic review","Hinkley, T.; Teychenne, M.; Downing, K. L.; Ball, K.; Salmon, J.; Hesketh, K. D.",2014,Preventive Medicine,62,,182-192,
Associations between obesogenic risk factors and depression among adolescents: A systematic review,"Hoare, E.; Skouteris, H.; Fuller-Tyszkiewicz, M.; Millar, L.; Allender, S.",2014,Obesity Reviews,15,1,40-51,
The associations between sedentary behaviour and mental health among adolescents: a systematic review,"Hoare, Erin; Milton, Karen; Foster, Charlie; Allender, Steven",2016,The International Journal Of Behavioral Nutrition And Physical Activity,13,1,108-108,
Empirically based psychological interventions with sexual minority youth: A systematic review,"Hobaica, Steven; Alman, Alexis; Jackowich, Sloan; Kwon, Paul",2018,Psychology of Sexual Orientation and Gender Diversity,,,,10.1037/sgd0000275
Sedentary behaviour and diet across the lifespan: an updated systematic review,"Hobbs, M.; Pearson, N.; Foster, P. J.; Biddle, S. J.",2015,British journal of sports medicine,49,18,1179-1188,
A review of instructional interventions in mathematics for students with emotional and behavioral disorders,"Hodge, J.; Riccomini, P. J.; Buford, R.; Herbst, M. H.",2006,Behavioral Disorders,31,3,297-311,
A systematic review of the impact of the use of social networking sites on body image and disordered eating outcomes,"Holland, Grace; Tiggemann, Marika",2016,Body image,17,,100-110,
Impact of digital technologies for communicating messages on weight loss maintenance: a systematic literature review,"Holmes, W. S.; Moorhead, S. A.; Coates, V. E.; Bond, R. R.; Zheng, H.",2019,Eur J Public Health,29,2,320-328,10.1093/eurpub/cky171
The association of mobile touch screen device use with parent-child attachment: a systematic review.,"Hood, Rebecca; Zabatiero, Juliana; Zubrick, Stephen R; Silva, Desiree; Straker, Leon",2021,Ergonomics,,,Jan-17,10.1080/00140139.2021.1948617
Systematic literature review of Internet interventions across health behaviors,"Hou, Su-I; Charlery, Su-Anne Robyn; Roberson, Kiersten",2014,Health Psychology and Behavioral Medicine: an Open Access Journal,2,1,455-481,
Disaster media effects: A systematic review and synthesis based on the differential susceptibility to media effects model,"Houston, J. Brian; Spialek, Matthew L.; First, Jennifer",2018,Journal of Communication,68,4,734-757,10.1093/joc/jqy023
The Influence of Young Children's Use of Technology on Their Learning: A Review,"Hsin, C. T.; Li, M. C.; Tsai, C. C.",2014,Educational Technology & Society,17,4,85-99,
Effectiveness and behavioral mechanisms of social media interventions for positive nutrition behaviors in adolescents: A systematic review,"Hsu, Michelle S. H.; Rouf, Anika; Allman-Farinelli, Margaret",2018,Journal of Adolescent Health,63,5,531-545,10.1016/j.jadohealth.2018.06.009
Social Networks Use Disorder and Associations With Depression and Anxiety Symptoms: A Systematic Review of Recent Research in China,"Hussain, Z.; Wegmann, E.; Yang, H. B.; Montag, C.",2020,Frontiers in psychology,11,,,10.3389/fpsyg.2020.00211
Systematic review of cyberbullying interventions for youth and parents with implications for evidence‐based practice,"Hutson, Elizabeth; Kelly, Stephanie; Militello, Lisa K.",2017,Worldviews on Evidence-Based Nursing,,,,10.1111/wvn.12257
Systematic review of cyberbullying interventions for youth and parents with implications for evidence‐based practice,"Hutson, Elizabeth; Kelly, Stephanie; Militello, Lisa K.",2018,Worldviews on Evidence-Based Nursing,15,1,72-79,10.1111/wvn.12257
